index,title,photo,link
1,Extinction and Temperature Change in Arizona,img/desert.jpg,https://www.cbsnews.com/
2,Ethics of Human Intervention in Puerto Rico,img/beach.jpg,https://www.cbsnews.com/
3,Protecting Biodiverse Ecosystems in Puerto Rico,img/jungle.jpg,https://www.cbsnews.com/
